0,17.30,94.75,56.82,276.13,40.3964806,-4.0232534,626.90,3.23
1,17.37,94.75,56.80,277.42,40.3964996,-4.0232840,618.60,1.68
2,17.39,94.74,56.90,288.39,40.3965111,-4.0232606,618.70,0.74
3,17.41,94.75,56.99,296.13,40.3965034,-4.0232644,617.90,0.48
4,17.37,94.74,56.93,296.77,40.3964996,-4.0232625,617.50,0.24
5,17.37,94.75,56.86,296.13,40.3965187,-4.0232511,619.10,0.18
6,17.35,94.75,56.80,303.23,40.3965302,-4.0232449,619.50,0.37
7,17.30,94.75,56.70,287.74,40.3965378,-4.0232306,619.30,0.15
8,17.31,94.75,56.65,276.13,40.3965530,-4.0232215,618.40,0.10
9,17.37,94.75,56.67,227.10,40.3965645,-4.0232148,617.40,1.07
10,17.39,94.75,56.74,218.06,40.3965645,-4.0232100,617.00,0.13
11,17.26,94.75,56.77,168.39,40.3965645,-4.0232038,616.40,0.34
12,17.39,94.75,56.80,178.71,40.3965607,-4.0231981,615.90,0.20
13,17.39,94.74,56.73,170.32,40.3965607,-4.0231938,614.90,0.04
14,17.35,94.74,56.70,154.19,40.3965530,-4.0231919,614.70,0.07
15,17.39,94.75,56.75,205.16,40.3965530,-4.0231891,614.50,0.29
16,17.41,94.74,57.16,258.71,40.3965492,-4.0231867,614.30,0.46
17,17.39,94.75,57.07,304.52,40.3965492,-4.0231833,614.10,0.58
18,17.41,94.74,56.87,283.87,40.3965492,-4.0231800,614.10,0.39
19,17.46,94.74,56.73,296.77,40.3965454,-4.0231771,613.80,0.95
20,17.41,94.75,56.91,213.55,40.3965454,-4.0231762,613.40,0.57
21,17.44,94.75,56.76,342.58,40.3965454,-4.0231771,613.00,0.83
22,17.42,94.75,56.76,314.19,40.3965378,-4.0231733,612.80,2.44
23,17.37,94.75,56.55,343.23,40.3965340,-4.0231686,612.50,3.77
24,17.37,94.75,56.66,288.39,40.3965187,-4.0231695,612.40,3.81
25,17.41,94.75,56.54,220.65,40.3965034,-4.0231733,612.10,4.30
26,17.26,94.75,56.27,290.32,40.3964996,-4.0231791,611.80,2.57
27,17.20,94.75,56.23,274.84,40.3964996,-4.0231872,612.20,2.27
28,17.19,94.75,56.31,237.42,40.3964996,-4.0231934,613.20,2.34
29,17.13,94.75,56.22,191.61,40.3964958,-4.0231957,612.70,0.52
30,17.19,94.75,56.06,177.42,40.3964996,-4.0231919,611.70,0.50
31,17.28,94.75,56.18,165.81,40.3964996,-4.0231919,611.60,0.66
32,17.26,94.75,56.25,167.74,40.3964958,-4.0231910,611.50,0.31
33,17.22,94.75,56.30,176.77,40.3964958,-4.0231876,611.00,0.31
